년도,분기,행정동_코드,행정동_코드_명,월평균소득금액,지출총금액
2020,2,11320514,창4동,3547959,2835784000
2020,2,11320515,창5동,3298026,6101092000
2020,2,11320521,도봉1동,2275377,4062063000
2020,2,11320522,도봉2동,2811820,2224052000
2020,2,11320660,쌍문1동,2440535,1502716000
2020,2,11320670,쌍문2동,2430154,3847878000
2020,2,11320680,쌍문3동,2438072,2337608000
2020,2,11320681,쌍문4동,2968285,1472253000
2020,2,11320690,방학1동,2895702,7389840000
2020,2,11320700,방학2동,2099146,1735699000
2020,2,11320710,방학3동,2962092,1597659000
2020,2,11350560,월계1동,2777397,4681122000
2020,2,11350570,월계2동,2728093,1386416000
2020,2,11350580,월계3동,3110675,5935561000
2020,2,11350595,공릉1동,2786137,10482871000
2020,2,11350600,공릉2동,3394877,6866989000
2020,2,11350611,하계1동,3611061,6370776000
2020,2,11350612,하계2동,3625940,586829000
2020,2,11350619,중계본동,4197248,5345299000
2020,2,11350621,중계1동,4623227,4206113000
2020,2,11350624,중계4동,3196660,3559143000
2020,2,11350625,중계2?3동,2936682,9900048000
2020,2,11350630,상계1동,3030316,7228523000
2020,2,11350640,상계2동,3122902,20013029000
2020,2,11350665,상계3?4동,2644186,1376185000
2020,2,11350670,상계5동,2481440,2123249000
2020,2,11350695,상계6?7동,3152836,10605565000
2020,2,11350700,상계8동,3153561,1300880000
