연도,분기,행정동_코드,행정동_코드_명,abs_q,프랜차이즈_점포_수,임대시세_per_m2,개업_점포_수,교통시설_수,의료시설_수,교육시설_수,상업시설_수,공공시설_수,임대료대비수익성,개업률_QoQ_diff,개업률_YoY_diff,개업률_diff_roll4,추정매출액_QoQ_diff,추정매출액_YoY_diff,추정매출액_diff_roll4,총_유동인구_수_QoQ_diff,총_유동인구_수_YoY_diff,총_유동인구_수_diff_roll4,IS_RENT_MISSING,Y
2021,1,11230660,장안2동,4,245,89183,63,38.0,23.0,5.0,2.0,5.0,894194.9555408543,-1.4299999999999997,-1.2400000000000002,-0.31000000000000005,6656762100.0,9813467453.0,2453366863.25,-161494.0,61204.0,15301.0,0,0.3982238347553941
2021,1,11230705,청량리동,4,60,77718,29,34.0,17.0,6.0,2.0,13.0,568888.6626778867,-0.3500000000000001,-1.44,-0.36,8380652498.0,13718815386.0,3429703846.5,-339525.0,-943031.0,-235757.75,0,0.0197224682334845
2021,1,11230710,회기동,4,142,92643,29,10.0,11.0,20.0,0.0,8.0,276309.77135887224,-0.4900000000000002,-1.38,-0.345,2744688457.0,3834176814.0,958544203.5,-212736.0,-135220.0,-33805.0,0,0.07049411214662667
2021,1,11230720,휘경1동,4,77,113637,28,21.0,12.0,0.0,1.0,3.0,135780.39991376048,-0.06000000000000005,1.2800000000000002,0.32000000000000006,-1180645772.0,-996324566.0,-249081141.5,11176.0,-609714.0,-152428.5,0,-0.30901254249183113
2021,1,11230730,휘경2동,4,60,86020,18,27.0,6.0,13.0,0.0,6.0,164848.3563589863,-0.31999999999999984,-1.8899999999999997,-0.4724999999999999,1175916540.0,3037928705.0,759482176.25,-171259.0,-338764.0,-84691.0,0,-0.40396555271869716
2021,1,11230740,이문1동,4,113,95148,26,27.0,13.0,35.0,0.0,7.0,217864.72327321646,-0.20000000000000018,-0.6499999999999999,-0.16249999999999998,-301326519.0,-547232753.0,-136808188.25,-351286.0,17864.0,4466.0,0,-0.3724386176003853
2021,1,11230750,이문2동,4,40,75043,17,18.0,6.0,4.0,0.0,2.0,95906.83889236838,-0.6000000000000001,-1.1999999999999997,-0.29999999999999993,309128193.0,926779347.0,231694836.75,82194.0,-55460.0,-13865.0,0,-0.691738241973879
2021,1,11260520,면목2동,4,64,75463,22,25.0,12.0,4.0,9.0,3.0,314564.4265136557,-1.7300000000000002,-2.25,-0.5625,4087063921.0,7917460209.0,1979365052.25,-226118.0,-392045.0,-98011.25,0,0.030945358042725895
2021,1,11260540,면목4동,4,38,68804,18,16.0,5.0,3.0,0.0,2.0,182768.10415092146,-0.6299999999999999,-0.8199999999999998,-0.20499999999999996,1861777315.0,3180197795.0,795049448.75,147277.0,-339162.0,-84790.5,0,-0.3848685248506675
2021,1,11260550,면목5동,4,38,68130,25,13.0,3.0,0.0,4.0,3.0,105467.12898869808,-0.3200000000000003,0.9699999999999998,0.24249999999999994,-2245661356.0,-1562718044.0,-390679511.0,-3872.0,-167960.0,-41990.0,0,-0.40919831241767274
2021,1,11260565,면목본동,4,117,81955,49,31.0,18.0,3.0,14.0,6.0,617054.8267951924,-1.08,-0.9499999999999997,-0.23749999999999993,6094152705.0,7179045729.0,1794761432.25,89825.0,-123175.0,-30793.75,0,0.1973188601197626
2021,1,11260570,면목7동,4,61,87438,28,18.0,12.0,1.0,1.0,4.0,419717.241462522,-1.17,-1.4299999999999997,-0.35749999999999993,1802125491.0,2439233872.0,609808468.0,-40308.0,48193.0,12048.25,0,-0.03144472759494329
