연도,분기,구이름,행정동_코드,행정동_코드_명,등록인구_수,시군구_코드
2020,2,용산구,11170560,원효로1동,16792,11170
2020,2,용산구,11170520,용산2가동,11626,11170
2020,2,용산구,11170590,용문동,12510,11170
2020,2,용산구,11170690,서빙고동,14143,11170
2020,2,용산구,11170700,보광동,16023,11170
2020,2,용산구,11170530,남영동,8268,11170
2020,2,성동구,11200570,행당2동,24441,11200
2020,2,성동구,11200560,행당1동,14827,11200
2020,2,성동구,11200580,응봉동,15952,11200
2020,2,성동구,11200790,용답동,13136,11200
2020,2,성동구,11200535,왕십리도선동,27812,11200
2020,2,성동구,11200520,왕십리2동,17668,11200
2020,2,성동구,11200645,옥수동,27129,11200
2020,2,성동구,11200720,송정동,11365,11200
2020,2,성동구,11200690,성수2가3동,11615,11200
2020,2,성동구,11200670,성수2가1동,17567,11200
2020,2,성동구,11200660,성수1가2동,14163,11200
2020,2,성동구,11200650,성수1가1동,17038,11200
2020,2,성동구,11200550,사근동,13511,11200
2020,2,성동구,11200540,마장동,23755,11200
2020,2,성동구,11200620,금호4가동,15016,11200
2020,2,성동구,11200615,금호23가동,23929,11200
2020,2,성동구,11200590,금호1가동,15927,11200
2020,2,광진구,11215710,화양동,25263,11215
2020,2,광진구,11215770,중곡4동,30320,11215
2020,2,광진구,11215760,중곡3동,17126,11215
2020,2,광진구,11215750,중곡2동,22500,11215
2020,2,광진구,11215740,중곡1동,16201,11215
2020,2,광진구,11215847,자양4동,22397,11215
2020,2,광진구,11215840,자양3동,29210,11215
2020,2,광진구,11215830,자양2동,26607,11215
2020,2,광진구,11215820,자양1동,23875,11215
2020,2,광진구,11215780,능동,12046,11215
2020,2,광진구,11215730,군자동,22007,11215
2020,2,광진구,11215870,구의3동,29813,11215
2020,2,광진구,11215860,구의2동,27620,11215
2020,2,광진구,11215850,구의1동,23006,11215
2020,2,광진구,11215810,광장동,35934,11215
2020,2,동대문구,11230730,휘경2동,25132,11230
2020,2,동대문구,11230720,휘경1동,15421,11230
2020,2,동대문구,11230710,회기동,12679,11230
2020,2,동대문구,11230705,청량리동,21588,11230
2020,2,동대문구,11230545,제기동,27137,11230
2020,2,동대문구,11230570,전농2동,19753,11230
2020,2,동대문구,11230560,전농1동,31016,11230
2020,2,동대문구,11230660,장안2동,33552,11230
2020,2,동대문구,11230650,장안1동,39319,11230
2020,2,동대문구,11230750,이문2동,21226,11230
2020,2,동대문구,11230740,이문1동,21427,11230
2020,2,동대문구,11230536,용신동,32379,11230
2020,2,동대문구,11230610,답십리2동,30108,11230
2020,2,동대문구,11230600,답십리1동,29643,11230
2020,2,중랑구,11260610,중화2동,26666,11260
2020,2,중랑구,11260600,중화1동,20699,11260
2020,2,중랑구,11260690,신내2동,21616,11260
2020,2,중랑구,11260680,신내1동,40611,11260
2020,2,중랑구,11260590,상봉2동,20036,11260
2020,2,중랑구,11260580,상봉1동,25299,11260
2020,2,중랑구,11260630,묵2동,19789,11260
2020,2,중랑구,11260620,묵1동,35885,11260
2020,2,중랑구,11260565,면목본동,35927,11260
2020,2,중랑구,11260570,면목7동,22825,11260
2020,2,중랑구,11260550,면목5동,9675,11260
2020,2,중랑구,11260540,면목4동,19597,11260
2020,2,중랑구,11260575,면목38동,26494,11260
2020,2,중랑구,11260520,면목2동,25664,11260
2020,2,중랑구,11260655,망우본동,30862,11260
2020,2,중랑구,11260660,망우3동,17770,11260
2020,2,성북구,11290705,종암동,41594,11290
2020,2,성북구,11290650,정릉4동,26301,11290
2020,2,성북구,11290640,정릉3동,17035,11290
2020,2,성북구,11290630,정릉2동,23749,11290
2020,2,성북구,11290620,정릉1동,19261,11290
2020,2,성북구,11290780,장위3동,18145,11290
2020,2,성북구,11290770,장위2동,14266,11290
2020,2,성북구,11290760,장위1동,20556,11290
2020,2,성북구,11290725,월곡2동,20679,11290
2020,2,성북구,11290715,월곡1동,27304,11290
2020,2,성북구,11290600,안암동,17101,11290
2020,2,성북구,11290525,성북동,17528,11290
2020,2,성북구,11290810,석관동,36735,11290
2020,2,성북구,11290555,삼선동,24564,11290
2020,2,성북구,11290610,보문동,16520,11290
2020,2,성북구,11290575,동선동,16384,11290
2020,2,성북구,11290590,돈암2동,24837,11290
2020,2,성북구,11290580,돈암1동,15657,11290
2020,2,성북구,11290685,길음2동,17293,11290
2020,2,성북구,11290660,길음1동,36781,11290
2020,2,강북구,11305660,인수동,32152,11305
2020,2,강북구,11305645,우이동,21210,11305
2020,2,강북구,11305635,수유3동,24053,11305
2020,2,강북구,11305625,수유2동,21796,11305
2020,2,강북구,11305615,수유1동,21622,11305
2020,2,강북구,11305555,송천동,28299,11305
2020,2,강북구,11305545,송중동,31272,11305
2020,2,강북구,11305534,삼양동,25176,11305
2020,2,강북구,11305575,삼각산동,32546,11305
2020,2,강북구,11305608,번3동,17927,11305
2020,2,강북구,11305603,번2동,16872,11305
2020,2,강북구,11305595,번1동,19684,11305
2020,2,강북구,11305535,미아동,22786,11305
2020,2,도봉구,11320515,창5동,25521,11320
