연도,분기,행정동_코드,행정동_코드_명,월평균소득금액,지출총금액,추정매출액,유사_업종_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수,총_유동인구_수,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수,총_직장_인구_수,전체,1층,1층외,영역_면적,_merge
2020,1,11200670,성수2가1동,2900762,4637140000,50578261411.0,1433,69,46,99,5509678,109,3.0,3.0,0.0,0.0,13.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,38.0,7914.0,65680.0,81475.0,49885.0,1184964,both
2020,1,11200690,성수2가3동,3358391,9958758000,87343327217.0,2726,127,60,189,5692383,104,3.0,16.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,20.0,22685.0,98587.0,113871.0,83302.0,1054501,both
2020,1,11200720,송정동,2566462,707358000,4342073871.0,430,16,5,14,3396646,44,2.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,878.0,73201.0,92046.0,54356.0,681916,both
2020,1,11200790,용답동,2484354,9364452000,26632759900.0,1274,39,37,72,3149214,82,7.0,2.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,2792.0,81000.0,107836.0,54164.0,2377148,both
2020,1,11215710,화양동,2470026,14826214000,71866957873.0,2261,111,80,348,9347518,167,3.0,5.0,1.0,0.0,17.0,0.0,2.0,2.0,1.0,34.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,16.0,1335.0,125955.0,165353.0,86557.0,1166008,both
2020,1,11215730,군자동,2604535,3979598000,41956713294.0,1233,35,33,120,5377666,135,5.0,5.0,0.0,1.0,12.0,1.0,2.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1356.0,87502.0,110347.0,64657.0,738025,both
2020,1,11215740,중곡1동,2542359,3761761000,39569273097.0,1106,48,34,65,4552413,74,2.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,4120.0,76883.0,91230.0,62535.0,614505,both
2020,1,11215750,중곡2동,2555101,3128743000,34292154675.0,1130,44,39,78,5437606,104,2.0,4.0,0.0,0.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,2261.0,71289.0,87958.0,54619.0,545542,both
2020,1,11215760,중곡3동,2390961,2310412000,14276750537.0,869,40,29,63,5424691,97,3.0,1.0,0.0,1.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,860.0,67985.0,99027.0,36943.0,601866,both
2020,1,11215770,중곡4동,2523958,2918126000,27983797295.0,1044,44,34,67,7728066,105,2.0,2.0,0.0,0.0,7.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,3137.0,81422.0,114455.0,48389.0,2313468,both
