연도,분기,행정동_코드,행정동_코드_명,추정매출액,유사_업종_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수,전체,1층,1층외,영역_면적,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수,총_상주인구_수,총_직장_인구_수,총_유동인구_수
2020,1,11215847,자양4동,36071703027,1522,59,44,121,106808.0,143823.0,69793.0,1180023,106,5.0,2.0,,1.0,15.0,1.0,,1.0,,,,1.0,1.0,,,,,1.0,16.0,18510,849.0,8044789
2020,1,11215850,구의1동,45627320211,1462,58,47,120,78822.0,107625.0,50020.0,565313,77,2.0,4.0,,,9.0,1.0,,1.0,1.0,,,,,,,,,1.0,16.0,22191,3413.0,6818044
2020,1,11215860,구의2동,19977502145,937,34,32,80,109420.0,151408.0,67432.0,1388041,112,3.0,2.0,,1.0,9.0,3.0,2.0,,,1.0,,,,,,,,1.0,24.0,27488,2134.0,7304476
2020,1,11215870,구의3동,136103321537,2508,79,71,214,106504.0,117932.0,95075.0,1027561,133,5.0,4.0,,,16.0,2.0,1.0,,,,,1.0,1.0,,,,1.0,1.0,25.0,29770,9125.0,6891769
2020,1,11230536,용신동,76401149903,2648,99,83,178,80990.0,99452.0,62527.0,1618399,231,10.0,8.0,1.0,4.0,20.0,1.0,1.0,1.0,1.0,,,1.0,,5.0,,,,5.0,41.0,30305,19195.0,14384853
2020,1,11230545,제기동,335937387240,3139,78,84,69,95687.0,129842.0,61533.0,1181705,288,4.0,5.0,,1.0,22.0,2.0,2.0,2.0,1.0,1.0,,3.0,,14.0,,,,1.0,30.0,24854,4848.0,11639217
2020,1,11230560,전농1동,24797630919,1948,74,56,175,77383.0,94184.0,60581.0,1126695,152,5.0,2.0,,1.0,13.0,3.0,1.0,1.0,1.0,,,,1.0,5.0,,,,3.0,35.0,30410,1128.0,11719440
2020,1,11230570,전농2동,11370227999,618,26,22,76,83350.0,100547.0,66153.0,977568,102,2.0,2.0,,,12.0,3.0,3.0,2.0,1.0,27.0,,,,,,,,,15.0,19572,1183.0,2759961
2020,1,11230600,답십리1동,20346260201,1132,48,31,87,102206.0,150329.0,54083.0,788242,124,4.0,5.0,,,9.0,,2.0,1.0,,,,,,,,,,,25.0,29395,2044.0,7189265
2020,1,11230610,답십리2동,20141595517,1634,46,43,81,70234.0,82414.0,58054.0,875745,108,3.0,2.0,,2.0,13.0,3.0,1.0,,,,,3.0,,,,,,,19.0,29929,2483.0,8088878
