연도,분기,행정동_코드,행정동_코드_명,추정매출액,월평균소득금액,지출_총금액,총_유동인구_수,총_상주인구_수,총_직장_인구_수,전체_임대시세,1층_임대시세,1층외_임대시세,영역_면적,집객시설_수,유사_업종_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수
2020,1,11350630,상계1동,33728195327,3030316,6712699000,8038150,41981,3699.0,94341.0,136347.0,52335.0,5402614.0,190,1494,57,42,142
2020,1,11350640,상계2동,73533236181,3122902,17930842000,12026948,21065,2183.0,124836.0,163324.0,86348.0,623125.0,182,2641,112,77,263
2020,1,11350665,상계3·4동,9704106194,2644186,1319537000,10180095,25739,652.0,63857.0,86856.0,40859.0,5211708.0,107,820,29,28,42
2020,1,11350670,상계5동,16497008421,2481440,1972657000,8123365,25458,1190.0,63381.0,88974.0,37787.0,906891.0,105,1185,53,42,71
2020,1,11350695,상계6·7동,67226527748,3152836,10452183000,6325553,34538,3980.0,128796.0,172108.0,85484.0,1450295.0,253,1489,56,43,169
2020,1,11350700,상계8동,10967029016,3153561,1133078000,1112270,24382,448.0,182386.0,182386.0,,666348.0,92,407,18,5,35
2020,1,11350710,상계9동,12972353920,2955988,1169371000,1777871,21896,1010.0,118333.0,184377.0,52289.0,719445.0,78,437,19,17,42
2020,1,11590530,상도1동,47264482480,3875896,5542651000,9576365,45129,3561.0,98983.0,119218.0,78749.0,1488648.0,201,1506,57,47,223
2020,1,11590540,상도2동,18973859292,3826699,3715838000,5959785,28618,992.0,116589.0,138636.0,94542.0,772865.0,154,1154,48,37,126
2020,1,11590550,상도3동,28455190695,2575897,2745647000,4911293,25619,887.0,119732.0,182526.0,56937.0,637199.0,113,744,31,23,53
2020,1,11590560,상도4동,22132007130,2563258,1747763000,7177260,29467,1118.0,75675.0,97402.0,53948.0,939562.0,112,755,28,21,74
2020,1,11260580,상봉1동,47332135376,2969913,3183862000,5983454,25085,1704.0,81612.0,108716.0,54508.0,854219.0,78,855,47,25,90
2020,1,11260590,상봉2동,52050382328,2575432,9858163000,7656373,19068,4761.0,81862.0,98433.0,65290.0,677445.0,127,1506,69,59,143
2020,1,11440740,상암동,64190519750,4158486,14644284000,5732417,27885,11981.0,160164.0,194594.0,125734.0,8402415.0,247,1834,105,76,282
2020,1,11740520,상일동,15015745928,3690212,2198405000,1996607,10654,1247.0,65758.0,82551.0,48965.0,1813623.0,105,697,56,15,53
