"상권별(1)",상권별(2),상권별(3),2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4,2023.2/4,2023.3/4,2023.4/4,2024.1/4,2024.2/4
"경남",거제고현,소계,11.3,11.3,11.3,11.3,11.3,11.9,12.5,12.6,12.6,13.9
"경남",거제옥포,소계,20.0,26.7,25.5,23.9,24.3,27.3,28.8,28.1,28.8,28.8
"경남",김해시청/동상시장,소계,16.2,16.2,16.2,12.6,13.5,13.5,13.5,15.3,14.3,17.5
"경남",마산동서동,소계,7.8,5.8,5.8,7.4,6.5,4.1,8.7,8.7,9.5,9.5
"경남",마산역버스터미널,소계,19.2,19.2,16.5,16.5,18.0,21.1,25.1,24.7,25.7,22.5
"경남",밀양원도심/삼문동,소계,16.4,16.4,9.5,5.2,5.2,1.9,1.9,1.9,3.6,4.2
"경남",양산구도심,소계,21.7,23.5,23.9,28.5,29.5,31.9,32.3,31.2,30.3,27.3
"경남",진주중앙시장,소계,22.0,20.8,22.3,24.2,26.3,26.1,26.4,23.9,28.2,30.0
"경남",진해석동,소계,6.9,6.9,6.9,0.0,0.0,0.0,0.0,0.0,0.0,8.0
"경남",창원시청,소계,10.7,15.5,11.0,5.1,3.3,3.3,4.7,5.4,7.5,7.5
"경남",창원역,소계,10.1,10.1,10.3,5.8,5.8,11.8,11.1,11.1,13.1,12.5
"경남",창원월영동,소계,12.7,10.4,13.8,13.8,13.8,13.5,13.1,15.8,15.8,17.0
"경남",창원의창구청,소계,15.8,16.5,16.5,18.3,18.7,20.9,20.9,18.7,18.7,18.3
"경남",통영 강구안,소계,20.2,19.6,19.6,22.4,24.1,24.9,24.9,25.2,25.2,25.2
"경남",평거동,소계,5.6,2.8,3.5,3.5,5.4,6.1,6.1,6.1,7.1,7.1
"경남",활천동,소계,11.3,11.3,11.3,9.2,11.5,10.6,6.8,6.8,6.8,6.8
"제주",소계,소계,8.6,8.3,8.9,9.6,8.4,8.7,8.8,10.2,8.8,8.7
"제주",광양사거리,소계,9.8,9.8,11.0,11.4,10.1,10.1,10.8,11.4,11.5,13.1
"제주",노형오거리,소계,4.9,0.6,0.6,3.0,1.3,5.1,5.1,5.1,2.0,1.9
"제주",서귀포도심,소계,9.2,10.9,12.2,13.3,12.7,10.9,10.6,10.6,9.2,10.3
"제주",중앙사거리,소계,15.1,15.3,15.3,15.3,12.6,13.5,13.5,20.2,17.4,13.7
