지역코드,지역명,1층_임대시세_최근1분기,1층_임대시세_최근2분기,1층_임대시세_최근3분기,기타층_임대시세_최근1분기,기타층_임대시세_최근2분기,기타층_임대시세_최근3분기,연도,분기
11680580,삼성1동,191935,197134,204428,187186,181207,206425,2020,1
11680590,삼성2동,152907,153221,163184,151577,134113,124682,2020,1
11680600,대치1동,332236,319381,278870,138123,137386,121091,2020,1
11680610,대치2동,152848,171704,183017,149971,154448,154878,2020,1
11680630,대치4동,180735,177530,190759,97433,107891,107437,2020,1
11680640,역삼1동,157874,164674,169894,127699,136007,139598,2020,1
11680650,역삼2동,156619,183824,196889,136638,121219,120011,2020,1
11680655,도곡1동,162810,148483,168905,93231,120190,112759,2020,1
11680656,도곡2동,182823,173022,168648,98352,91894,102881,2020,1
11680660,개포1동, , , , , , ,2020,1
11680670,개포2동,174883,176634,172021,67406,66718,82217,2020,1
11680690,개포4동,82942,83016,79235,48837,50076,50935,2020,1
11680700,세곡동,147138,138819,149157,94289,99288,116211,2020,1
11680720,일원본동,157231,185721,206664,109293,123613,110407,2020,1
11680730,일원1동,130373,130170,138772,45848,45129,44190,2020,1
11680740,일원2동, ,183239,161289,80321,85742,83628,2020,1
11680750,수서동,134597,155480,239326,87529,95234,103544,2020,1
11710,송파구,141289,142005,137815,89809,88897,95968,2020,1
11710510,풍납1동,86261,89308,89995, ,35346,47372,2020,1
11710520,풍납2동,108950,102181,102056,74416,78985,52832,2020,1
11710531,거여1동,85552,90114,96773,44944,44021,83753,2020,1
11710532,거여2동,137904,130103,126896,47823,44730,44897,2020,1
11710540,마천1동,88253,88570,85543,36508,35109,31335,2020,1
11710550,마천2동,103686,108240,104499,44021,40120,35855,2020,1
11710561,방이1동,112063,124867,134140,74027,59778,52016,2020,1
11710562,방이2동,145312,149057,142644,65941,60631,73532,2020,1
11710566,오륜동,354303,305221,338165,148458,164859,172552,2020,1
11710570,오금동,106564,95071,96984,56660,55698,46626,2020,1
11710580,송파1동,111063,119400,121000,55647,56285,104761,2020,1
11710590,송파2동,125771,109080,106126,51823,47280,52240,2020,1
11710600,석촌동,127574,123956,132432,61694,66560,67942,2020,1
11710610,삼전동,147612,146322,143300,76852,74825,58912,2020,1
11710620,가락본동,127764,128187,118982,84380,76176,67008,2020,1
11710631,가락1동,105137,123666,128269,119542,127503,168159,2020,1
11710632,가락2동,112957,113703,111134,52543,48509,41758,2020,1
